time, lv, xp, readable xp, lv/h, xp/s
7/13/2023 19:48:48, 469, 1217693674.4570353, 1.218b
7/13/2023 22:17:49, 486, 2106756138.149712, 2.107b, 6.845 lv/h, 99.436k xp/s
7/14/2023 00:38:09, 503, 3547296012.0482907, 3.547b, 7.268 lv/h, 171.085k xp/s
7/14/2023 08:26:37, 507, 4021896537.9486423, 4.022b, 0.512 lv/h, 16.885k xp/s
7/14/2023 12:26:37, 558, 19706594031.95169, 19.707b, 12.75 lv/h, 1.089m xp/s
7/14/2023 16:26:37, 593, 57897075250.76347, 57.897b, 8.75 lv/h, 2.652m xp/s
7/14/2023 20:35:55, 622, 143409528931.49118, 143.41b, 6.98 lv/h, 5.717m xp/s
7/15/2023 07:51:26, 646, 307226084248.4316, 307.226b, 2.132 lv/h, 4.042m xp/s
7/15/2023 10:59:37, 682, 941712912537.6351, 941.713b, 11.478 lv/h, 56.194m xp/s
7/15/2023 15:01:23, 711, 2370352291859.603, 2.37t, 7.197 lv/h, 98.486m xp/s
7/15/2023 18:42:28, 730, 4259818541325.915, 4.26t, 5.156 lv/h, 142.439m xp/s
7/15/2023 22:42:29, 746, 7057587040916.096, 7.058t, 4 lv/h, 194.275m xp/s
7/16/2023 08:16:14, 763, 11802257243156.086, 11.802t, 1.778 lv/h, 137.826m xp/s
7/16/2023 12:16:14, 796, 33666184473610.668, 33.666t, 8.25 lv/h, 1.518b xp/s
7/16/2023 16:16:14, 825, 82598334391692.56, 82.598t, 7.25 lv/h, 3.398b xp/s
7/16/2023 20:16:14, 842, 138924809343014.36, 138.925t, 4.25 lv/h, 3.912b xp/s
7/17/2023 00:16:15, 862, 266099845204052.28, 266.1t, 5 lv/h, 8.831b xp/s
7/17/2023 07:58:52, 866, 301237960016750.2, 301.238t, 0.519 lv/h, 1.266b xp/s
7/17/2023 11:18:32, 896, 768498473041835.8, 768.498t, 9.015 lv/h, 39.003b xp/s
7/17/2023 16:50:39, 929, 2151330799330878.8, 2.151q, 5.962 lv/h, 69.394b xp/s
7/17/2023 20:50:39, 945, 3552006628195204.5, 3.552q, 4 lv/h, 97.269b xp/s
7/18/2023 00:50:41, 958, 5201907217809398, 5.202q, 3.25 lv/h, 114.560b xp/s
7/18/2023 09:02:17, 968, 7155004440532197, 7.155q, 1.221 lv/h, 66.215b xp/s
7/18/2023 13:02:17, 995, 16848590071245380, 16.849q, 6.75 lv/h, 673.165b xp/s
7/18/2023 17:02:17, 1020, 36212518076665980, 36.213q, 6.25 lv/h, 1.345t xp/s
7/18/2023 21:39:18, 1037, 62403924065922620, 62.404q, 3.682 lv/h, 1.576t xp/s
7/19/2023 01:39:20, 1044, 78022747981681500, 78.023q, 1.75 lv/h, 1.084t xp/s
7/19/2023 08:37:17, 1048, 88769546451533800, 88.77q, 0.574 lv/h, 428.552b xp/s
